week,weekorder,date,ReportingLaboratory,test_sarscov2,pos_sarscov2,test_flu,pos_flu,pos_flua_h1,pos_flua_h3,pos_flua_uns,pos_flua,pos_flub,test_rsv,pos_rsv,test_hpiv,pos_hpiv_1,pos_hpiv_2,pos_hpiv_3,pos_hpiv_4,pos_hpiv_other,test_adv,pos_adv,test_hmpv,pos_hmpv,test_evrv,pos_evrv,test_hcov,pos_hcov
36,2,2024-09-07,Territories,166.0,21.0,146.0,1.0,0.0,1.0,0.0,1.0,0.0,146.0,0.0,,,,,,,42.0,0.0,42.0,0.0,42.0,16.0,,
36,2,2024-09-07,Canada,27160.0,4971.0,18364.0,88.0,23.0,12.0,34.0,82.0,6.0,17106.0,77.0,7534.0,21.0,13.0,23.0,19.0,51.0,7590.0,66.0,7556.0,18.0,7644.0,773.0,6244.0,36.0
37,3,2024-09-14,Newfoundland and Labrador,566.0,89.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,0.0,478.0,0.0,0.0,0.0,8.0,0.0,478.0,6.0,478.0,1.0,478.0,74.0,478.0,0.0
37,3,2024-09-14,Prince Edward Island,130.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0,16.0,7.0,16.0,1.0
37,3,2024-09-14,Nova Scotia,1331.0,239.0,1258.0,1.0,0.0,0.0,1.0,1.0,0.0,1171.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,54.0,0.0,54.0,14.0,64.0,0.0
37,3,2024-09-14,New Brunswick,1158.0,198.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,150.0,3.0,150.0,0.0,150.0,26.0,150.0,3.0
37,3,2024-09-14,Atlantic,3185.0,542.0,2554.0,1.0,0.0,0.0,1.0,1.0,0.0,2467.0,1.0,698.0,0.0,0.0,0.0,8.0,0.0,698.0,12.0,698.0,1.0,698.0,121.0,708.0,4.0
37,3,2024-09-14,Région Nord-Est,1647.0,369.0,1411.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,1.0,119.0,1.0,1.0,0.0,0.0,0.0,119.0,2.0,111.0,0.0,119.0,28.0,119.0,1.0
37,3,2024-09-14,Québec-Chaudière-Appalaches,1784.0,344.0,1180.0,3.0,0.0,0.0,1.0,1.0,2.0,1180.0,6.0,593.0,0.0,1.0,0.0,0.0,0.0,607.0,9.0,593.0,1.0,618.0,113.0,537.0,10.0
37,3,2024-09-14,Centre-du-Québec,2362.0,600.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,16.0,34.0,0.0,0.0,0.0,1.0,0.0,34.0,1.0,34.0,0.0,34.0,9.0,37.0,2.0
